Entity,region,ImagePath,Color
Afghanistan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Afghanistan.png,
Albania,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Albania.png,
Algeria,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Algeria.png,
Andorra,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Andorra.png,
Angola,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Angola.png,
Anguilla,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Anguilla.png,
Antigua and Barbuda,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Antigua and Barbuda.png,
Argentina,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Argentina.png,
Armenia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Armenia.png,
Aruba,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Aruba.png,
Australia,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Australia.png,
Austria,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Austria.png,
Azerbaijan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Azerbaijan.png,
Bahamas,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bahamas.png,
Bahrain,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bahrain.png,
Bangladesh,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bangladesh.png,
Barbados,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Barbados.png,
Belarus,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Belarus.png,
Belgium,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Belgium.png,
Belize,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Belize.png,
Benin,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Benin.png,
Bermuda,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bermuda.png,
Bhutan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bhutan.png,
Bolivia,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bolivia.png,
Bonaire Sint Eustatius and Saba,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bonaire Sint Eustatius and Saba.png,
Bosnia and Herzegovina,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bosnia and Herzegovina.png,
Botswana,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Botswana.png,
Brazil,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Brazil.png,
British Virgin Islands,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/British Virgin Islands.png,
Brunei,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Brunei.png,
Bulgaria,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Bulgaria.png,
Burkina Faso,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Burkina Faso.png,
Burundi,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Burundi.png,
Cambodia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cambodia.png,
Cameroon,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cameroon.png,
Canada,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Canada.png,
Cape Verde,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cape Verde.png,
Cayman Islands,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cayman Islands.png,
Central African Republic,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Central African Republic.png,
Chad,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Chad.png,
Chile,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Chile.png,
China,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/China.png,
Colombia,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Colombia.png,
Congo,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Congo.png,
Costa Rica,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Costa Rica.png,
Cote d'Ivoire,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cote d'Ivoire.png,
Croatia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Croatia.png,
Cuba,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cuba.png,
Curacao,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Curacao.png,
Cyprus,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Cyprus.png,
Czech Republic,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Czech Republic.png,
Democratic Republic of Congo,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Democratic Republic of Congo.png,
Denmark,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Denmark.png,
Djibouti,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Djibouti.png,
Dominica,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Dominica.png,
Dominican Republic,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Dominican Republic.png,
Ecuador,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Ecuador.png,
Egypt,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Egypt.png,
El Salvador,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/El Salvador.png,
Equatorial Guinea,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Equatorial Guinea.png,
Eritrea,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Eritrea.png,
Estonia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Estonia.png,
Ethiopia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Ethiopia.png,
Faeroe Islands,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Faeroe Islands.png,
Falkland Islands,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Falkland Islands.png,
Fiji,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Fiji.png,
Finland,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Finland.png,
France,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/France.png,
French Polynesia,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/French Polynesia.png,
Gabon,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Gabon.png,
Gambia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Gambia.png,
Georgia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Georgia.png,
Germany,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Germany.png,
Ghana,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Ghana.png,
Gibraltar,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Gibraltar.png,
Greece,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Greece.png,
Greenland,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Greenland.png,
Grenada,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Grenada.png,
Guam,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guam.png,
Guatemala,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guatemala.png,
Guernsey,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guernsey.png,
Guinea,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guinea.png,
Guinea-Bissau,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guinea-Bissau.png,
Guyana,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Guyana.png,
Haiti,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Haiti.png,
Honduras,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Honduras.png,
Hungary,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Hungary.png,
Iceland,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Iceland.png,
India,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/India.png,
Indonesia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Indonesia.png,
Iran,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Iran.png,
Iraq,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Iraq.png,
Ireland,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Ireland.png,
Isle of Man,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Isle of Man.png,
Israel,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Israel.png,
Italy,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Italy.png,
Jamaica,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Jamaica.png,
Japan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Japan.png,
Jersey,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Jersey.png,
Jordan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Jordan.png,
Kazakhstan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kazakhstan.png,
Kenya,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kenya.png,
Kosovo,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kosovo.png,
Kuwait,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kuwait.png,
Kyrgyzstan,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Kyrgyzstan.png,
Laos,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Laos.png,
Latvia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Latvia.png,
Lebanon,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Lebanon.png,
Liberia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Liberia.png,
Libya,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Libya.png,
Liechtenstein,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Liechtenstein.png,
Lithuania,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Lithuania.png,
