Entity,Code,Date,Total confirmed cases of COVID-19 (cases)
Afghanistan,AFG,2019-12-31,0
Afghanistan,AFG,2020-01-01,0
Afghanistan,AFG,2020-01-02,0
Afghanistan,AFG,2020-01-03,0
Afghanistan,AFG,2020-01-04,0
Afghanistan,AFG,2020-01-05,0
Afghanistan,AFG,2020-01-06,0
Afghanistan,AFG,2020-01-07,0
Afghanistan,AFG,2020-01-08,0
Afghanistan,AFG,2020-01-09,0
Afghanistan,AFG,2020-01-10,0
Afghanistan,AFG,2020-01-11,0
Afghanistan,AFG,2020-01-12,0
Afghanistan,AFG,2020-01-13,0
Afghanistan,AFG,2020-01-14,0
Afghanistan,AFG,2020-01-15,0
Afghanistan,AFG,2020-01-16,0
Afghanistan,AFG,2020-01-17,0
Afghanistan,AFG,2020-01-18,0
Afghanistan,AFG,2020-01-19,0
Afghanistan,AFG,2020-01-20,0
Afghanistan,AFG,2020-01-21,0
Afghanistan,AFG,2020-01-22,0
Afghanistan,AFG,2020-01-23,0
Afghanistan,AFG,2020-01-24,0
Afghanistan,AFG,2020-01-25,0
Afghanistan,AFG,2020-01-26,0
Afghanistan,AFG,2020-01-27,0
Afghanistan,AFG,2020-01-28,0
Afghanistan,AFG,2020-01-29,0
Afghanistan,AFG,2020-01-30,0
Afghanistan,AFG,2020-01-31,0
Afghanistan,AFG,2020-02-01,0
Afghanistan,AFG,2020-02-02,0
Afghanistan,AFG,2020-02-03,0
Afghanistan,AFG,2020-02-04,0
Afghanistan,AFG,2020-02-05,0
Afghanistan,AFG,2020-02-06,0
Afghanistan,AFG,2020-02-07,0
Afghanistan,AFG,2020-02-08,0
Afghanistan,AFG,2020-02-09,0
Afghanistan,AFG,2020-02-10,0
Afghanistan,AFG,2020-02-11,0
Afghanistan,AFG,2020-02-12,0
Afghanistan,AFG,2020-02-13,0
Afghanistan,AFG,2020-02-14,0
Afghanistan,AFG,2020-02-15,0
Afghanistan,AFG,2020-02-16,0
Afghanistan,AFG,2020-02-17,0
Afghanistan,AFG,2020-02-18,0
Afghanistan,AFG,2020-02-19,0
Afghanistan,AFG,2020-02-20,0
Afghanistan,AFG,2020-02-21,0
Afghanistan,AFG,2020-02-22,0
Afghanistan,AFG,2020-02-23,0
Afghanistan,AFG,2020-02-24,0
Afghanistan,AFG,2020-02-25,1
Afghanistan,AFG,2020-02-26,1
Afghanistan,AFG,2020-02-27,1
Afghanistan,AFG,2020-02-28,1
Afghanistan,AFG,2020-02-29,1
Afghanistan,AFG,2020-03-01,1
Afghanistan,AFG,2020-03-02,1
Afghanistan,AFG,2020-03-08,4
Afghanistan,AFG,2020-03-11,7
Afghanistan,AFG,2020-03-15,10
Afghanistan,AFG,2020-03-16,16
Afghanistan,AFG,2020-03-17,21
Afghanistan,AFG,2020-03-18,22
Afghanistan,AFG,2020-03-19,22
Afghanistan,AFG,2020-03-20,22
Afghanistan,AFG,2020-03-21,24
Afghanistan,AFG,2020-03-22,24
Afghanistan,AFG,2020-03-23,34
Afghanistan,AFG,2020-03-24,40
Afghanistan,AFG,2020-03-25,42
Afghanistan,AFG,2020-03-26,75
Afghanistan,AFG,2020-03-27,75
Afghanistan,AFG,2020-03-28,91
Afghanistan,AFG,2020-03-29,106
Afghanistan,AFG,2020-03-30,114
Afghanistan,AFG,2020-03-31,141
Afghanistan,AFG,2020-04-01,166
Afghanistan,AFG,2020-04-02,192
Afghanistan,AFG,2020-04-03,235
Afghanistan,AFG,2020-04-04,235
Africa,,2019-12-31,0
Africa,,2020-01-01,0
Africa,,2020-01-02,0
Africa,,2020-01-03,0
Africa,,2020-01-04,0
Africa,,2020-01-05,0
Africa,,2020-01-06,0
Africa,,2020-01-07,0
Africa,,2020-01-08,0
Africa,,2020-01-09,0
Africa,,2020-01-10,0
Africa,,2020-01-11,0
Africa,,2020-01-12,0
Africa,,2020-01-13,0
Africa,,2020-01-14,0
Africa,,2020-01-15,0
Africa,,2020-01-16,0
Africa,,2020-01-17,0
Africa,,2020-01-18,0
Africa,,2020-01-19,0
Africa,,2020-01-20,0
Africa,,2020-01-21,0
Africa,,2020-01-22,0
Africa,,2020-01-23,0
Africa,,2020-01-24,0
Africa,,2020-01-25,0
Africa,,2020-01-26,0
Africa,,2020-01-27,0
Africa,,2020-01-28,0
Africa,,2020-01-29,0
Africa,,2020-01-30,0
Africa,,2020-01-31,0
Africa,,2020-02-01,0
Africa,,2020-02-02,0
Africa,,2020-02-03,0
Africa,,2020-02-04,0
Africa,,2020-02-05,0
Africa,,2020-02-06,0
Africa,,2020-02-07,0
Africa,,2020-02-08,0
Africa,,2020-02-09,0
Africa,,2020-02-10,0
Africa,,2020-02-11,0
Africa,,2020-02-12,0
Africa,,2020-02-13,0
Africa,,2020-02-14,0
Africa,,2020-02-15,1
Africa,,2020-02-16,1
Africa,,2020-02-17,1
Africa,,2020-02-18,1
Africa,,2020-02-19,1
Africa,,2020-02-20,1
Africa,,2020-02-21,1
Africa,,2020-02-22,1
Africa,,2020-02-23,1
Africa,,2020-02-24,1
Africa,,2020-02-25,1
Africa,,2020-02-26,2
Africa,,2020-02-27,2
Africa,,2020-02-28,3
Africa,,2020-02-29,3
Africa,,2020-03-01,3
Africa,,2020-03-02,6
Africa,,2020-03-03,9
Africa,,2020-03-04,11
Africa,,2020-03-05,20
Africa,,2020-03-06,29
Africa,,2020-03-07,43
Africa,,2020-03-08,44
Africa,,2020-03-09,83
Africa,,2020-03-10,95
Africa,,2020-03-11,105
Africa,,2020-03-12,118
Africa,,2020-03-13,158
Africa,,2020-03-14,202
Africa,,2020-03-15,239
Africa,,2020-03-16,324
Africa,,2020-03-17,404
Africa,,2020-03-18,494
Africa,,2020-03-19,634
Africa,,2020-03-20,736
Africa,,2020-03-21,967
Africa,,2020-03-22,1131
Africa,,2020-03-23,1290
Africa,,2020-03-24,1697
Africa,,2020-03-25,2170
Africa,,2020-03-26,2652
Africa,,2020-03-27,3216
Africa,,2020-03-28,3700
Africa,,2020-03-29,4079
Africa,,2020-03-30,4572
Africa,,2020-03-31,5064
Africa,,2020-04-01,5494
Africa,,2020-04-02,6248
Africa,,2020-04-03,6744
Africa,,2020-04-04,7323
Albania,ALB,2020-03-09,2
Albania,ALB,2020-03-10,6
Albania,ALB,2020-03-11,10
Albania,ALB,2020-03-12,11
Albania,ALB,2020-03-13,23
Albania,ALB,2020-03-14,33
Albania,ALB,2020-03-15,38
Albania,ALB,2020-03-16,42
Albania,ALB,2020-03-17,51
Albania,ALB,2020-03-18,55
Albania,ALB,2020-03-19,59
Albania,ALB,2020-03-20,70
Albania,ALB,2020-03-21,70
Albania,ALB,2020-03-22,76
Albania,ALB,2020-03-23,89
Albania,ALB,2020-03-24,100
Albania,ALB,2020-03-25,123
Albania,ALB,2020-03-26,146
Albania,ALB,2020-03-27,174
Albania,ALB,2020-03-28,186
Albania,ALB,2020-03-29,197
Albania,ALB,2020-03-30,212
Albania,ALB,2020-03-31,223
Albania,ALB,2020-04-01,243
Albania,ALB,2020-04-02,259
Albania,ALB,2020-04-03,277
Albania,ALB,2020-04-04,304
Algeria,DZA,2019-12-31,0
Algeria,DZA,2020-01-01,0
Algeria,DZA,2020-01-02,0
Algeria,DZA,2020-01-03,0
Algeria,DZA,2020-01-04,0
Algeria,DZA,2020-01-05,0
Algeria,DZA,2020-01-06,0
Algeria,DZA,2020-01-07,0
Algeria,DZA,2020-01-08,0
Algeria,DZA,2020-01-09,0
Algeria,DZA,2020-01-10,0
Algeria,DZA,2020-01-11,0
Algeria,DZA,2020-01-12,0
Algeria,DZA,2020-01-13,0
Algeria,DZA,2020-01-14,0
Algeria,DZA,2020-01-15,0
Algeria,DZA,2020-01-16,0
Algeria,DZA,2020-01-17,0
Algeria,DZA,2020-01-18,0
Algeria,DZA,2020-01-19,0
Algeria,DZA,2020-01-20,0
Algeria,DZA,2020-01-21,0
Algeria,DZA,2020-01-22,0
Algeria,DZA,2020-01-23,0
Algeria,DZA,2020-01-24,0
Algeria,DZA,2020-01-25,0
Algeria,DZA,2020-01-26,0
Algeria,DZA,2020-01-27,0
Algeria,DZA,2020-01-28,0
Algeria,DZA,2020-01-29,0
Algeria,DZA,2020-01-30,0
Algeria,DZA,2020-01-31,0
Algeria,DZA,2020-02-01,0
Algeria,DZA,2020-02-02,0
Algeria,DZA,2020-02-03,0
Algeria,DZA,2020-02-04,0
Algeria,DZA,2020-02-05,0
Algeria,DZA,2020-02-06,0
Algeria,DZA,2020-02-07,0
